Entity,Code,Year,Solar (% growth),Coal (% growth),Gas (% growth),Nuclear (% growth),Oil (% growth),Wind (% growth),Hydro (% growth),Other renewables (% growth)
Africa (BP),,2019,28.256166,5.819607,0.40032864,17.409325,0.20084381,30.890453,3.5791397,1.1048555
Africa (BP),,2020,24.541998,-5.962372,-0.88773966,2.5998354,-11.095458,10.1971035,4.9889445,-2.3786902
Africa (BP),,2021,2.8422475,0.9361267,7.021129,-25.271654,8.577072,14.613366,4.8134565,-0.49710274
Africa (BP),,1966,,-0.11560321,11.799992,,8.270407,,11.537552,
Africa (BP),,1967,,2.2187948,-1.1644542,,-0.36844015,,4.3883443,
Africa (BP),,1968,,4.002917,1.3588428,,5.7248354,,16.970957,
Africa (BP),,1969,,0.9111762,16.868137,,1.984334,,16.699183,
Africa (BP),,1970,,4.071617,24.242126,,9.283781,,25.019539,
Africa (BP),,1971,,6.1690927,18.588139,,9.1737385,,-5.8523836,
Africa (BP),,1972,,0.31291246,34.04131,,7.835698,,13.915157,0.6097555
Africa (BP),,1973,,6.428635,60.31917,,7.646227,,5.779028,3.0303001
Africa (BP),,1974,,4.0928006,12.557447,,3.2889247,,13.786161,2.9411793
Africa (BP),,1975,,5.975437,20.485615,,5.037868,,5.750108,-1.7142832
Africa (BP),,1976,,6.6493034,13.689863,,9.419071,,10.816229,7.558143
Africa (BP),,1977,,2.2084475,11.893463,,6.525767,,9.883654,2.1621585
Africa (BP),,1978,,-2.8234541,42.699562,,5.3245783,,0.82337856,3.174603
Africa (BP),,1979,,6.1595798,52.863266,,5.2934527,,7.0362926,3.0769348
Africa (BP),,1980,,7.1582675,25.578106,,6.0056925,,-2.528888,2.9850721
Africa (BP),,1981,,16.970015,22.244024,,8.152199,,3.8937092,5.3140044
Africa (BP),,1982,,10.282671,7.9838514,,4.6800613,,0.02655983,8.256888
Africa (BP),,1983,,1.7214179,9.94668,,4.250312,,-9.877407,-2.5423706
Africa (BP),,1984,,6.9613814,-4.192257,,1.7831922,,-1.6734481,1.7391324
Africa (BP),,1985,,3.1810403,7.2873354,35.414017,2.5810838,,11.147928,14.957261
Africa (BP),,1986,,2.3108482,12.346911,65.625595,-1.8368423,,3.4291267,144.98141
Africa (BP),,1987,,2.851367,3.2282472,-29.944342,5.4092526,,-4.084265,-0.1517415
Africa (BP),,1988,,7.4658394,10.841644,70.14756,4.241526,,9.248519,-4.86322
Africa (BP),,1989,,-6.126976,3.6341667,5.775273,3.466761,,5.005753,-1.4376998
Africa (BP),,1990,,5.033064,7.3153377,-23.876022,1.643908,,1.7386436,29.011345
Africa (BP),,1991,,-2.7249277,0.7500887,8.225822,0.55167675,,5.9328437,2.0100474
Africa (BP),,1992,,0.59372187,4.8886776,1.5748024,1.8994689,,-4.602027,3.7253737
Africa (BP),,1993,,1.5000343,-2.0476818,-21.888458,0.8160591,,-2.0355642,11.332739
Africa (BP),,1994,,2.6079655,4.649031,33.659542,3.5428166,170,1.6116858,-10.95233
Africa (BP),,1995,,3.1330347,6.811869,16.541195,3.6744118,16.666662,3.772521,22.000004
Africa (BP),,1996,,1.3829231,4.975307,4.1943192,2.1463394,12.698412,4.2623878,23.499859
Africa (BP),,1997,,2.5438428,-2.0066857,7.4055314,2.9600263,1.4084458,2.4649024,10.21763
Africa (BP),,1998,,-2.2919416,5.239773,7.5432897,2.3445249,5.555558,4.388845,23.503494
Africa (BP),,1999,,3.091848,0.9377718,-5.6172314,3.7441373,160.5263,6.045127,-0.95906854
Africa (BP),,2000,,-0.23604631,10.476327,1.3476729,0.41188002,786.3637,6.467569,33.779263
Algeria,DZA,2011,99.10713,-11.290323,5.802989,,5.8452845,,118.49711,
Algeria,DZA,2012,47.48818,6.181824,11.483073,,6.3297987,,2.9100537,
Algeria,DZA,2013,7.023859,-45.890408,7.523036,,4.491842,,-74.550125,
Algeria,DZA,2014,109.79021,13.291132,12.360287,,3.9090276,,94.94949,
Algeria,DZA,2015,-3.333336,-25.698328,5.072272,,6.409073,1799.9998,-24.870468,
Algeria,DZA,2016,322.41382,-63.15789,1.7766476,,-2.788347,0.2739787,-50.344826,
Algeria,DZA,2017,105.71427,271.42856,2.244389,,-1.764965,-0.2732277,-22.222216,
Algeria,DZA,2018,19.642853,174.7253,10.000002,,1.7806053,-47.36842,108.92856,
Algeria,DZA,2019,1.990056,-17.399996,3.7915707,,3.4678102,0,29.914522,
Algeria,DZA,2020,11.382114,0.2739668,-3.2257974,,-10.885656,-22.999996,-67.368416,
Algeria,DZA,2021,-3.0656993,-0.27322173,5.077255,,3.8776278,36.363636,-81.25,
Algeria,DZA,1966,,-2.8571427,3.8860083,,31.596066,,-11.250001,
Algeria,DZA,1967,,-23.529411,-2.9925168,,-6.563878,,15.492964,
Algeria,DZA,1968,,5.769229,5.1413894,,6.4685345,,37.317085,
Algeria,DZA,1969,,27.272724,31.479216,,5.645919,,-35.87922,
Algeria,DZA,1970,,18.571424,-5.9972105,,14.276528,,60.66481,
Algeria,DZA,1971,,-72.289154,13.550938,,12.70088,,-43.103443,
Algeria,DZA,1972,,-13.043481,16.114986,,9.7717285,,50,
Algeria,DZA,1973,,15.00001,39.19729,,9.225761,,51.919186,
Algeria,DZA,1974,,-17.391306,15.76395,,11.074328,,-33.909573,
Algeria,DZA,1975,,26.315796,37.802612,,11.183357,,-34.00402,
Algeria,DZA,1976,,95.83331,18.24324,,14.981449,,18.597555,
Algeria,DZA,1977,,29.787243,6.571436,,13.03308,,-30.84833,
Algeria,DZA,1978,,-49.18033,60.5898,,3.4114242,,-7.0631924,
Algeria,DZA,1979,,132.25809,41.402317,,19.613766,,16.400003,
Algeria,DZA,1980,,-11.111116,34.238495,,1.3530731,,-11.683851,
Algeria,DZA,1981,,-29.6875,29.991209,,7.734823,,42.41245,
Algeria,DZA,1982,,1755.5553,13.464141,,5.9592843,,30.874325,
Algeria,DZA,1983,,-10.778439,9.4812155,,12.331057,,-50.939457,
Algeria,DZA,1984,,10.872496,-12.145967,,10.730743,,92.34042,
Algeria,DZA,1985,,4.358351,-0.9299457,,2.714622,,42.920364,
Algeria,DZA,1986,,2.668202,9.5118885,,1.5198231,,-61.300312,
Algeria,DZA,1987,,19.548035,2.2857308,,1.1010528,,99.600006,
Algeria,DZA,1988,,-5.9546413,12.681556,,0.07274151,,-63.326656,
Algeria,DZA,1989,,-15.477377,-5.8998466,,4.8038006,,23.497272,
Algeria,DZA,1990,,-21.64091,6.7966104,,7.576692,,-40.265484,
Algeria,DZA,1991,,3.186655,-1.2333512,,-1.0587692,,117.03703,
Algeria,DZA,1992,,18.823517,3.2467604,,0.60099363,,-32.081913,
Algeria,DZA,1993,,-18.564356,-10.256415,,-0.48321486,,77.386925,
Algeria,DZA,1994,,-5.775076,5.3908467,,-4.2472067,,-52.974503,
Algeria,DZA,1995,,0,7.468033,,-2.742654,,16.26507,
Algeria,DZA,1996,,-52.90322,2.7129889,,-4.5764027,,-30.05181,
Algeria,DZA,1997,,75.34247,-6.5801563,,-0.7911384,,-44.444443,
Algeria,DZA,1998,,7.03125,3.422606,,3.0881047,,186.66666,
Algeria,DZA,1999,,7.1167827,2.206242,,-1.7488837,,-5.581397,
Algeria,DZA,2000,,-17.376495,-6.872368,,4.2812943,,-73.39901,
Algeria,DZA,2001,,15.463924,3.3030152,,3.532207,,27.777767,
Algeria,DZA,2002,,31.25,-1.2584746,,10.884439,,-17.3913,
Algeria,DZA,2003,,-17.551023,5.6933165,,4.0346265,,364.91226,
Algeria,DZA,2004,,19.306923,2.897811,,4.524255,,-5.283016,
Algeria,DZA,2005,,-17.84231,5.502939,,4.2459726,,121.23506,
Algeria,DZA,2006,,48.484837,2.2086382,,4.1965604,,-60.813976,
Algeria,DZA,2007,,-14.172334,2.3235798,,11.830366,,3.8602948,
Algeria,DZA,2008,,0,4.377568,,8.648836,,25.221241,
Algeria,DZA,2009,,-35.799206,7.406819,,6.0138702,,20.84806,
Algeria,DZA,2010,,-36.213993,-3.3745825,,0.8202195,,-49.415207,
Argentina,ARG,1999,52.941166,20.007015,6.0635924,-4.6558437,1.3018131,6.883633,-19.182682,26.635338
Argentina,ARG,2000,38.46154,-24.003136,2.6266932,-13.073456,-7.6881704,-0.06612539,33.54919,47.339058
Argentina,ARG,2001,19.444443,-18.046825,-6.38361,14.278782,-7.400143,42.013348,28.013527,-5.9658947
Argentina,ARG,2002,9.30233,-25.509071,-2.6375115,-17.537891,-5.0876856,48.710514,-2.1906376,46.000755
Argentina,ARG,2003,38.297867,21.969105,14.238524,29.977667,1.9787669,6.1971307,-5.5291357,66.156876
Argentina,ARG,2004,7.692313,70.183205,9.456337,4.0047526,7.2716,-7.0657015,-9.876084,-1.486057
Argentina,ARG,2005,15.714275,15.145529,6.737125,-12.657261,4.739809,-1.0025978,12.322521,5.6468844
Argentina,ARG,2006,11.111116,-9.467781,3.4653425,12.338138,5.4707527,-2.8997064,11.103165,14.163578
Argentina,ARG,2007,21.000004,44.705963,5.071759,-6.048441,11.513615,-11.555147,-17.874586,2.3456216
Argentina,ARG,2008,31.955921,21.975124,1.1156678,1.9299626,1.0537505,-31.889862,-0.065517426,12.618804
Argentina,ARG,2009,-47.05359,-45.073647,-3.133142,10.670805,-4.4137774,-12.203622,10.956812,-1.4133155
Argentina,ARG,2010,12.888395,40.028763,0.60201883,-11.890501,8.282339,-31.168736,-3.634733,21.315205
Argentina,ARG,2011,1779.1477,8.510685,4.1636586,-11.234397,3.6103845,4.8870444,-6.5137444,-1.610446
Argentina,ARG,2012,406.3796,-6.4948854,4.1615605,0.031244755,6.2500834,1290.9528,-6.485182,4.609978
Argentina,ARG,2013,84.43828,9.291863,0.7959962,-3.0459285,6.2357783,22.574066,12.367737,8.225405
Argentina,ARG,2014,5.7709813,6.3752294,0.27655363,-11.164814,-1.007837,36.645935,-1.0822952,-7.7056885
Argentina,ARG,2015,-7.9089346,-0.4882276,1.0780811,27.656878,1.9459724,-4.2221785,-0.24439096,2.3260474
Argentina,ARG,2016,-2.7923465,-22.925621,3.3383846,17.701376,-3.1020284,-7.748741,-7.99284,-24.94753
Argentina,ARG,2017,15.021372,2.76196,0.18671751,-26.517803,-1.1716247,11.730516,6.1893225,21.97274
Argentina,ARG,2018,558.6465,9.451759,0.83253384,12.877798,-4.768568,131.00378,2.166164,14.455748
Argentina,ARG,2019,639.5708,-40.740574,-4.4006824,22.860872,-8.065468,253.63591,-14.790463,3.7783384
Argentina,ARG,2020,68.10822,23.281277,-5.643755,26.287151,-8.421194,88.36473,-13.943869,37.26263
Argentina,ARG,2021,63.31687,82.259735,4.561472,1.5864015,14.533054,37.47792,-17.202765,-7.1003857
Argentina,ARG,1966,,-17.542553,8.301878,,3.1464696,,1.2908101,
Argentina,ARG,1967,,12.458431,4.5731783,,2.415681,,2.3988008,
